City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Narok,-1.08,35.86,54.07,94,46,4.61
Puerto Ayora,-0.74,-90.35,75.0,90,71,1.99
Nanortalik,60.14,-45.24,45.27,96,99,5.01
Bambous Virieux,-20.34,57.76,72.73,78,75,12.75
Necochea,-38.55,-58.74,48.0,88,100,3.0
Zyryanovsk,49.74,84.27,64.72,65,1,1.54
Alice Springs,-23.7,133.88,54.28,41,72,12.75
Carnarvon,-24.87,113.63,75.22,35,0,8.88
Ilulissat,69.22,-51.1,37.4,86,100,3.36
Nioro,13.35,-15.75,77.2,51,100,6.69
Mount Gambier,-37.83,140.77,55.4,62,90,13.87
Raglan,-37.8,174.88,59.67,79,4,5.01
Sitka,57.05,-135.33,50.0,81,75,8.05
San Cristobal,7.77,-72.22,84.2,66,40,2.24
Zaraza,9.35,-65.32,75.58,82,0,5.88
Kvarkeno,52.08,59.73,57.38,75,46,14.63
Kumul,42.8,93.45,87.71,13,0,2.71
Jamestown,42.1,-79.24,70.3,73,90,5.82
Wajima,37.4,136.9,73.4,64,75,8.05
Edd,13.93,41.69,84.58,48,95,1.81
Sinnamary,5.38,-52.95,78.04,88,100,6.96
Río Gallegos,-51.62,-69.22,37.4,74,91,10.29
Bonito,-21.12,-56.48,55.96,97,86,1.43
Juiz de Fora,-21.76,-43.35,56.35,93,5,2.62
Noumea,-22.28,166.46,80.22,65,75,10.29
Pontes e Lacerda,-15.23,-59.34,62.24,83,22,3.76
Khāsh,28.22,61.22,76.44,16,0,4.76
Tam Ky,15.57,108.48,87.8,66,20,1.12
Altagracia de Orituco,9.86,-66.38,71.24,88,19,5.35
Shalinskoye,55.72,93.76,52.39,79,100,14.41
Talcahuano,-36.72,-73.12,51.8,93,90,6.93
Alyangula,-13.85,136.42,78.8,54,0,10.29
Saint Paul Harbor,57.79,-152.41,50.0,81,90,12.75
Le Port,-20.94,55.29,60.37,73,30,8.05
Geraldton,-28.77,114.6,62.6,63,90,14.99
Baruun-Urt,46.68,113.28,53.51,50,100,23.31
Tagusao,9.19,117.81,86.86,64,56,1.95
Hamilton,39.18,-84.53,79.79,47,1,10.29
Russkiy Aktash,55.04,52.12,46.4,93,41,8.95
Vitim,59.45,112.56,73.29,30,18,2.24
Tal'menka,53.82,83.57,53.6,71,81,8.95
Najrān,17.49,44.13,75.2,57,20,4.5
Cayenne,4.93,-52.33,77.0,100,75,6.24
Lebu,-37.62,-73.65,49.12,84,21,8.66
Gunjur,13.2,-16.73,75.2,83,100,4.7
Aykhal,66.0,111.5,59.0,44,75,4.47
Xam Nua,20.42,104.04,81.57,54,4,5.37
Dikson,73.51,80.55,30.22,98,90,6.98
Marawi,8.0,124.29,82.99,78,96,4.0
Horta,38.53,-28.63,62.2,82,87,23.4
Bjørnevatn,69.67,29.98,44.6,87,100,6.93
Tutóia,-2.76,-42.27,79.29,86,18,9.35
Iqaluit,63.75,-68.51,37.2,69,75,8.05
Medicine Hat,50.05,-110.67,73.53,23,75,14.99
Grand Baie,-20.02,57.58,72.0,81,13,5.01
Pacific Grove,36.62,-121.92,71.28,47,1,5.82
Brainerd,46.36,-94.2,77.54,39,1,3.36
Raymond,43.9,-70.47,55.22,80,100,3.02
Rocha,-34.48,-54.33,44.67,87,0,3.67
Wawa,9.9,4.42,77.68,86,100,8.99
Port Hardy,50.7,-127.42,55.4,71,40,5.82
Lavrentiya,65.58,-171.0,43.12,67,0,6.55
Daru,-9.08,143.21,79.92,79,90,15.12
Mogok,22.92,96.5,72.14,96,80,2.84
Banfora,10.63,-4.77,80.17,67,100,4.54
Manzhouli,49.6,117.43,48.18,78,100,24.74
Torbay,47.67,-52.73,48.16,100,90,25.28
Margate,51.38,1.39,53.73,89,95,5.21
Arman',59.7,150.17,49.55,59,76,7.14
Port Shepstone,-30.74,30.45,67.01,37,0,5.66
Paamiut,61.99,-49.67,43.65,97,100,24.85
Manado,1.49,124.85,84.2,79,40,3.36
Ponta do Sol,32.67,-17.1,62.6,68,75,4.7
Ruska Poliana,49.42,31.92,44.02,91,0,5.3
Forio,40.73,13.86,64.29,86,0,3.0
Meulaboh,4.14,96.13,82.06,80,66,0.98
Keflavik,64.0,-22.56,45.27,81,90,13.87
Natchez,31.56,-91.4,81.48,78,1,3.36
Murray Bridge,-35.12,139.27,53.02,83,100,1.99
Rabo de Peixe,37.8,-25.58,62.6,88,75,16.11
Manama,26.22,50.58,89.6,66,5,4.7
Bandarbeyla,9.49,50.81,82.06,72,86,22.17
Bundaberg,-24.85,152.35,66.85,31,0,12.75
Waipawa,-41.41,175.52,57.47,76,92,16.11
Bāglung,28.27,83.59,77.54,40,0,1.32
Cidreira,-30.18,-50.21,55.9,85,90,8.16
Vila Franca do Campo,37.72,-25.43,62.6,88,75,16.11
Ibrā’,22.69,58.53,87.91,28,0,0.98
Hobyo,5.35,48.53,81.54,70,41,18.77
Morondava,-20.28,44.28,70.43,61,0,12.59
Saint George,37.1,-113.58,92.52,13,1,12.75
Lyuban',52.8,28.0,42.01,96,1,7.99
Lázaro Cárdenas,17.96,-102.2,75.52,86,5,7.61
Antakya,36.21,36.16,68.0,72,75,1.12
Tamworth,52.63,-1.7,60.87,51,100,8.05
Bodden Town,19.28,-81.25,83.64,74,20,12.75
Burns Lake,54.23,-125.75,52.81,43,73,14.43
Abonnema,4.71,6.79,77.05,89,100,3.4
Flinders,-34.58,150.86,64.0,48,4,7.0
New Norfolk,-42.78,147.06,46.71,63,47,1.99
Plettenberg Bay,-34.05,23.37,58.89,84,100,6.35
Port Alfred,-33.59,26.89,61.0,92,100,5.01
Lorengau,-2.02,147.27,86.5,66,6,5.84
Griffith,41.53,-87.42,86.86,51,1,11.16
Markova,48.68,24.41,45.0,92,100,6.29
Virginia Beach,36.85,-75.98,74.62,60,75,9.17
Charlestown,-32.95,151.67,63.28,55,0,5.01
Pinotepa de Don Luis,16.42,-97.92,72.27,89,100,1.99
Salalah,17.02,54.09,82.4,88,75,3.04
Along,28.17,94.77,69.22,87,93,0.96
Morant Bay,17.88,-76.41,83.21,66,20,19.46
Severo-Kuril'sk,50.68,156.12,50.68,76,22,10.78
Hirara,24.8,125.28,86.0,74,40,17.22
Bethel,41.37,-73.41,61.99,52,90,5.26
Belmonte,-15.86,-38.88,75.2,88,75,3.36
Anadyr,64.75,177.48,64.18,39,18,8.95
Udachny,66.42,112.4,59.0,44,75,4.47
Traverse City,44.76,-85.62,79.45,65,90,4.7
Chauk,20.88,94.82,88.75,55,48,10.69
El Alto,-4.27,-81.21,68.56,82,21,20.6
Manuk Mangkaw,4.8,119.85,84.79,70,22,7.45
Teknāf,20.86,92.31,85.14,74,99,4.59
Clyde River,70.47,-68.59,28.4,100,90,5.82
Hakkâri Province,37.58,44.17,48.04,55,0,2.46
Ambilobe,-13.2,49.05,67.77,82,6,2.57
Hithadhoo,-0.6,73.08,84.0,67,30,8.21
Mthatha,-31.59,28.78,44.6,81,0,2.24
Sioux Lookout,50.1,-91.92,73.4,38,40,5.82
Mataura,-46.19,168.86,54.01,77,100,1.63
Tuatapere,-46.13,167.68,55.35,71,100,3.94
Fortuna,40.6,-124.16,60.55,82,40,10.29
West Wendover,40.74,-114.07,84.2,18,1,6.93
Mayor Pablo Lagerenza,-19.93,-60.77,53.53,85,83,1.48
Koronowo,53.31,17.94,46.18,75,0,4.7
Diu,20.71,70.98,81.81,69,100,11.18
Chiredzi,-21.05,31.67,53.26,88,0,2.19
Goderich,43.75,-81.72,70.68,77,55,8.99
Santa Maria,-29.68,-53.81,46.4,93,40,1.12
Barrow,71.29,-156.79,33.8,86,90,20.8
Touros,-5.2,-35.46,77.0,94,20,3.36
Baylo,7.85,126.06,87.3,67,54,1.5
Namioka,40.71,140.59,69.93,43,75,3.36
Novyy Urgal,51.07,132.56,63.01,51,67,4.83
Colonelganj,27.13,81.7,94.19,30,0,8.57
Darhan,49.49,105.92,57.69,39,79,6.62
Butaritari,3.07,172.79,82.94,73,7,6.38
Tabou,4.42,-7.35,78.8,88,100,6.44
Béja,36.73,9.18,60.55,71,20,2.24
Havelock,34.88,-76.9,73.47,56,40,12.75
Maniitsoq,65.42,-52.9,39.13,88,100,5.57
Aketi,2.74,23.78,70.79,94,51,1.01
Alofi,-19.06,-169.92,80.6,69,75,16.11
Santa Rosa,14.31,121.11,89.65,70,40,2.24
Hutang,31.53,119.48,84.63,65,20,2.24
Ulladulla,-35.35,150.47,58.19,36,41,17.22
Synya,65.37,58.04,43.72,62,64,1.83
Koumac,-20.57,164.28,76.51,79,100,8.86
Cartagena del Chairá,1.33,-74.84,75.9,86,79,0.27
Whitehorse,60.72,-135.05,56.16,28,75,11.41
Fallon,39.47,-118.78,88.84,11,40,6.93
Raudeberg,61.99,5.14,52.0,89,100,24.25
Sanchazi,42.08,126.6,68.68,51,55,9.66
Aitape,-3.14,142.35,87.19,63,58,6.13
Sydney,-33.87,151.21,62.33,48,20,18.34
Bismarck,46.81,-100.78,76.3,19,1,16.11
Tomatlán,19.93,-105.25,74.16,81,30,5.37
Pisco,-13.7,-76.22,64.65,93,90,6.93
Port-Gentil,-0.72,8.78,78.53,85,100,7.02
Reguengos de Monsaraz,38.43,-7.53,63.36,93,75,8.05
Ahipara,-35.17,173.17,61.92,92,93,17.81
Takoradze,4.88,-1.76,78.4,86,100,5.68
São Félix do Xingu,-6.64,-51.99,72.32,91,62,1.45
Madikeri,12.42,75.73,66.4,100,100,3.33
Ust-Tsilma,65.44,52.15,47.66,53,60,2.66
Fort Frances,48.6,-93.4,74.68,38,1,4.7
Charter Township of Clinton,42.59,-82.92,84.72,55,75,9.17
Thayetmyo,19.32,95.18,88.7,56,33,6.44
Kaabong,3.48,34.15,63.0,89,12,5.75
Eséka,3.65,10.77,72.57,96,100,1.57
Kambove,-10.88,26.6,56.1,71,0,6.06
Noril'sk,69.35,88.2,41.0,93,40,4.47
Rosita,13.93,-84.4,75.33,96,98,1.97
Kibakwe,-6.72,36.37,59.31,82,67,2.39
Tongren,27.72,109.19,71.28,88,100,1.25
Saint-Joseph,-21.37,55.62,62.76,73,41,9.17
Bouca,6.51,18.27,70.79,96,100,11.45
Katsuura,35.13,140.3,76.73,88,75,8.05
Longyearbyen,78.22,15.64,35.6,93,75,6.93
Palu,-0.89,119.87,86.11,64,100,1.07
La Esperanza,14.87,-91.57,54.0,99,100,0.72
Cherskiy,68.75,161.3,57.96,41,3,4.38
Lockhart,28.62,-81.44,77.5,74,90,6.93
Santa Inês,-3.67,-45.38,74.21,96,45,2.19
Cobija,-11.03,-68.77,70.45,98,100,3.09
Tigil',57.8,158.67,58.77,46,97,2.48
Bathsheba,13.22,-59.52,80.6,78,40,16.11
Adrar,20.5,-10.07,89.85,30,22,1.14
Khor,47.89,134.95,54.32,93,100,2.26
San Ramon,37.78,-121.98,86.04,25,1,13.87
Coquimbo,-29.95,-71.34,55.4,82,90,4.7
Prainha,-1.8,-53.48,74.37,96,100,2.68
Hulan Ergi,47.2,123.63,66.63,42,3,8.79
Tocopilla,-22.09,-70.2,59.67,70,38,3.49
Banjar,-8.19,114.97,84.2,83,20,11.41
Shebalino,51.29,85.68,61.32,58,85,7.63
Hare Bay,48.85,-54.01,51.39,100,90,23.04
Loukhi,66.08,33.04,53.78,75,99,7.36
La Seyne-sur-Mer,43.1,5.88,60.4,87,0,7.05
Half Moon Bay,37.46,-122.43,81.57,72,1,10.29
Tuktoyaktuk,69.45,-133.04,42.8,70,20,16.11
Kolyvan',55.31,82.74,50.0,81,90,13.42
Marzuq,14.4,46.47,78.1,53,100,4.76
Fuxin,42.02,121.66,75.92,27,50,11.52
Oranjestad,12.52,-70.03,82.4,74,20,20.8
Andradas,-22.07,-46.57,60.35,77,97,2.64
Bredasdorp,-34.53,20.04,55.4,87,100,5.66
Mikkeli,61.69,27.27,45.0,96,0,3.87
Loikaw,19.67,97.21,77.76,74,4,2.89
Namatanai,-3.67,152.43,86.05,67,86,3.76
Slave Lake,55.28,-114.77,57.2,58,40,5.82
Oga,46.46,10.35,42.75,93,91,1.12
Kargasok,59.06,80.86,47.05,69,61,12.57
San Rafael del Sur,11.85,-86.44,78.19,87,100,5.91
Deputatsky,69.3,139.9,55.9,40,100,10.36
Castro,-24.79,-50.01,55.72,97,69,3.22
Haines Junction,60.75,-137.51,52.16,45,88,10.38
Zhuhai,22.28,113.57,86.0,84,40,9.17
Saskylakh,71.92,114.08,46.69,53,30,5.1
Hermanus,-34.42,19.23,57.0,97,100,6.44
Doha,25.29,51.53,91.35,49,0,5.82
Avera,33.19,-82.53,73.87,64,1,5.5
Port Blair,11.67,92.75,85.91,69,99,5.95
Melfi,41.0,15.65,68.0,60,5,4.7
Kokstad,-30.55,29.42,51.44,42,17,3.83
Arrondissement de Saint-Denis,48.92,2.33,65.3,63,69,6.93
Kavieng,-2.57,150.8,86.13,68,71,5.97
Motygino,58.18,94.76,54.1,74,100,6.31
Thanatpin,17.21,96.3,82.4,83,75,4.7
High Rock,26.62,-78.28,80.6,78,90,11.41
Mocuba,-16.84,36.99,62.26,98,8,3.38
Leningradskiy,69.38,178.42,44.82,62,0,5.32
Lagos,6.58,3.75,77.0,94,20,3.13
Ganzhou,28.82,115.43,76.44,91,100,5.55
Mīzan Teferī,6.98,35.58,60.96,90,8,3.0
San Juan del Sur,11.25,-85.87,79.93,86,100,10.36
Jalu,29.03,21.55,69.1,46,0,9.55
Provideniya,64.38,-173.3,37.4,86,20,11.18
Malindi,-3.22,40.12,76.71,86,70,15.12
Ogbomosho,8.13,4.25,72.66,97,100,5.19
Hasaki,35.73,140.83,78.39,73,75,5.82
Bontang,0.13,117.5,80.02,85,100,3.36
Quanzhou,24.91,118.59,87.8,74,75,11.18
East London,-33.02,27.91,68.4,43,58,9.26
Straumen,63.87,11.3,52.09,76,100,4.7
Nador,35.17,-2.93,66.2,82,0,3.36
Qaanaaq,77.48,-69.36,26.76,93,92,2.86
Zhezkazgan,47.8,67.71,71.6,35,90,22.37
Tāybād,34.74,60.78,79.77,16,0,5.48
Mamakan,57.82,114.0,70.92,33,15,2.48
Brae,60.4,-1.35,46.4,93,100,14.99
San-Pédro,4.75,-6.64,78.13,90,100,5.01
Ayan,56.45,138.17,38.08,97,100,14.7
Ketchikan,55.34,-131.65,55.02,81,90,11.41
St. George's,12.06,-61.75,82.4,78,40,13.87
Aklavik,68.22,-135.01,57.2,30,5,13.87
Qasigiannguit,68.82,-51.19,37.4,86,100,3.36
Antsohihy,-14.88,47.99,73.29,56,0,11.97
George Town,5.41,100.34,84.09,83,20,5.82
Valença do Piauí,-6.41,-41.75,71.04,93,66,3.69
Denpasar,-8.65,115.22,84.2,83,20,11.41
Airai,-8.93,125.41,68.79,69,6,5.21
High Prairie,55.43,-116.49,57.02,65,100,12.53
Chui,-33.7,-53.46,47.77,84,0,2.95
Pasni,25.26,63.47,82.63,90,1,3.74
Byron Bay,-28.65,153.62,63.79,36,0,8.05
Sorong,-0.88,131.25,81.91,82,79,10.89
Vung Tau,10.35,107.08,84.72,71,92,4.5
Road Town,18.42,-64.62,82.33,83,54,13.0
Ribeira Grande,38.52,-28.7,62.55,81,79,24.11
Mount Isa,-20.73,139.5,66.2,24,0,16.11
Leh,34.17,77.58,44.6,59,100,2.75
Burnie,-41.07,145.92,53.33,50,0,11.99
Ekimchan,53.07,132.97,62.15,45,64,4.76
Auki,-8.77,160.7,87.19,65,12,2.21
Launceston,-41.45,147.17,51.46,46,0,14.99
Kantang,7.41,99.52,82.4,78,20,1.23
Atar,20.52,-13.05,85.28,16,83,7.16
Boyolangu,-8.12,111.89,81.91,75,89,3.4
Bonavista,48.65,-53.11,46.0,86,100,10.0
Vila do Maio,15.13,-23.22,73.4,78,75,13.87
Union,40.63,-74.27,68.7,40,90,5.97
Province of Trapani,37.83,12.67,63.59,72,83,2.24
Anan,33.92,134.65,77.0,69,75,5.82
Paraíso,9.84,-83.87,68.32,100,100,2.24
Christchurch,-43.53,172.63,55.89,93,75,3.36
Varhaug,58.61,5.65,50.56,93,75,9.17
Ostrovnoy,68.05,39.51,49.44,73,7,23.11
Svodín,47.91,18.5,57.0,82,100,3.11
Syumsi,57.11,51.61,47.75,78,0,4.03
Kruisfontein,-34.0,24.73,54.64,84,100,6.26
Thinadhoo,0.53,72.93,84.36,63,0,7.9
Le Marin,14.47,-60.87,79.79,78,75,10.29
Florida,28.75,-82.5,78.89,65,1,5.82
Arroyo de la Encomienda,41.61,-4.8,63.48,87,100,2.24
Moses Lake,47.13,-119.28,77.65,22,1,10.29
Sørland,67.67,12.69,44.44,72,7,6.64
Paita,-5.09,-81.11,68.83,81,10,16.31
Seshcha,53.74,33.34,43.23,91,39,1.23
La Ronge,55.1,-105.28,68.0,34,40,5.82
Coahuayana Viejo,18.73,-103.68,75.92,81,65,4.0
Vaini,-21.2,-175.2,80.6,78,40,10.29
Yabrūd,33.97,36.66,54.66,63,10,11.41
Port Lincoln,-34.73,135.87,56.86,69,86,9.53
Atuona,-9.8,-139.03,81.1,74,37,12.57
Monrovia,6.3,-10.8,78.84,84,100,1.86
Tarauacá,-8.16,-70.77,72.95,96,84,3.0
Dublin,37.7,-121.94,84.78,25,1,13.87
Matam,15.62,-13.33,96.8,30,100,4.7
Yichun,47.7,128.9,66.33,59,85,6.93
Bluff,-46.6,168.33,55.71,66,100,11.99
Port Elizabeth,-33.92,25.57,59.0,93,100,12.75
Yangi Marg`ilon,40.43,71.72,68.0,60,100,1.32
Perth,-31.93,115.83,64.85,59,8,10.29
Susuman,62.78,148.17,54.16,39,54,8.52
Pampierstad,-27.78,24.69,47.19,54,15,2.46
Trat,12.5,102.5,84.51,76,100,3.22
Albany,42.6,-73.97,60.55,55,99,3.22
Tiksi,71.69,128.87,37.54,78,4,9.55
Rikitea,-23.12,-134.97,72.95,88,100,24.43
Muravlenko,63.79,74.52,40.5,70,95,17.38
Anking,30.51,117.05,81.01,69,100,3.18
Lahaina,20.88,-156.68,83.77,51,20,14.99
Cabo San Lucas,22.89,-109.91,83.75,57,5,17.22
Sambava,-14.27,50.17,73.18,81,37,17.47
Beringovskiy,63.05,179.32,44.06,62,2,3.44
Mogadishu,2.04,45.34,79.39,84,100,14.94
Xining,36.62,101.77,62.89,33,23,2.46
Ternate,0.8,127.4,85.12,66,100,3.71
Hambantota,6.12,81.12,73.4,100,20,3.36
Kalat,29.02,66.59,65.57,53,0,3.24
Garchitorena,13.88,123.69,87.71,61,4,4.09
Nuuk,64.18,-51.72,41.0,93,100,11.41
Chapais,49.78,-74.85,53.6,46,75,2.24
Sault Ste. Marie,46.52,-84.33,59.99,72,1,6.93
Saint-Philippe,-21.36,55.77,61.03,73,78,9.17
Don Luan,11.53,106.92,85.5,71,99,3.36
Pushkinskiye Gory,57.02,28.91,46.78,81,71,8.19
Thompson,55.74,-97.86,53.6,76,75,5.82
Lokosovo,61.13,74.82,42.51,65,80,11.39
San Patricio,19.22,-104.7,77.0,83,20,11.41
Bonthe,7.53,-12.51,80.02,87,100,5.88
Kapaa,22.08,-159.32,81.01,74,40,12.75
San Andrés,12.58,-81.7,80.6,88,75,4.7
Biltine,14.53,20.92,82.13,15,95,6.62
Yellowknife,62.46,-114.35,53.01,46,40,11.41
Puerto Escondido,15.85,-97.07,81.3,74,100,4.38
Plattling,48.78,12.87,51.98,32,1,2.26
Graaff-Reinet,-32.25,24.53,66.0,26,100,1.01
Mandalgovi,45.76,106.27,57.51,33,97,5.06
Babati,-4.22,35.75,55.02,96,100,0.92
Lagoa,39.05,-27.98,62.04,84,82,25.64
Kingston,18.0,-76.79,83.26,66,20,19.46
Jiuquan,39.74,98.52,82.62,13,0,16.13
Buala,-8.14,159.59,86.09,69,100,8.57
Maragogi,-9.01,-35.22,76.44,87,28,2.77
Cravo Norte,6.3,-70.2,77.86,89,100,6.24
Sfântu Gheorghe,45.87,25.78,40.3,91,100,1.79
North Bend,43.41,-124.22,65.17,72,1,23.04
Saint Anthony,45.02,-93.22,66.24,93,75,2.42
City of San Pedro,14.35,121.02,89.69,70,40,2.24
Villaviciosa,43.48,-5.44,63.48,84,63,3.27
Verāval,20.9,70.37,81.54,80,79,6.02
Porto-Novo,6.5,2.6,78.8,88,40,2.24
Talnakh,69.49,88.4,41.0,93,40,4.47
Zhigansk,66.77,123.37,57.24,54,1,9.71
Narsaq,60.92,-46.05,46.4,93,100,2.24
Banda Aceh,5.56,95.32,83.84,72,0,3.83
Tasiilaq,65.61,-37.64,39.2,61,100,8.05
Akureyri,65.68,-18.09,48.2,57,74,20.8
Nardaran,40.56,50.01,64.4,82,13,13.67
Cape Town,-33.93,18.42,60.49,93,75,5.82
Soyo,-6.13,12.37,75.97,86,53,3.76
Havøysund,71.0,24.66,42.8,81,67,13.87
Poum,-20.23,164.02,76.84,81,100,10.54
Vila Velha,-20.33,-40.29,72.36,94,75,4.7
Biak,-0.91,122.88,81.28,77,75,9.13
Punta Arenas,-53.15,-70.92,37.2,86,40,4.7
Ushuaia,-54.8,-68.3,39.2,95,40,32.21
Bara,10.37,10.73,80.04,72,92,13.27
Okhotsk,59.38,143.3,47.5,61,100,6.58
Pesca,5.55,-73.05,51.31,90,100,2.53
La Libertad,-2.23,-80.9,71.22,86,92,9.15
Acarí,-15.43,-74.62,66.38,73,75,4.29
Teya,60.38,92.63,57.22,54,99,5.14
Arraial do Cabo,-22.97,-42.03,64.4,93,0,2.24
Araouane,18.9,-3.53,97.36,16,86,13.91
Chërnaya Kholunitsa,58.85,51.72,43.95,72,0,4.36
Champotón,19.35,-90.72,77.0,94,90,11.41
Yulara,-25.24,130.99,57.2,50,96,14.99
Kibaya,-5.3,36.57,53.51,100,63,3.36
Boquira,-12.82,-42.73,71.6,79,92,2.44
Katobu,-4.94,122.53,84.43,64,96,9.69
Ocean City,39.28,-74.57,65.17,56,90,6.93
São João da Barra,-21.64,-41.05,67.95,85,0,5.79
Labuan,5.28,115.24,82.29,94,75,3.36
Opuwo,-18.06,13.84,58.66,35,0,8.43
Bolobo,-2.17,16.23,72.72,92,100,3.31
Qingdao,36.1,120.37,84.27,51,0,6.71
Mnogovershinnyy,53.94,139.92,45.1,93,100,5.5
Mahon,39.89,4.27,66.2,82,73,4.7
Mossamedes,-15.2,12.15,71.22,61,0,3.49
Yumen,40.28,97.2,80.65,13,0,12.3
Kaitangata,-46.28,169.85,53.01,71,100,2.93
Henties Bay,-22.12,14.28,68.7,40,42,4.76
Kayseri Province,38.74,35.5,42.8,100,40,1.68
Souillac,-20.52,57.52,73.4,78,75,12.75
Gobabis,-22.45,18.97,46.4,43,0,2.24
Camacha,33.08,-16.33,66.2,88,75,5.82
Hobart,-42.88,147.33,48.36,61,40,17.22
Orán,-23.13,-64.33,51.01,90,0,1.59
Esperance,-33.87,121.9,55.4,82,100,14.99
Salinópolis,-0.61,-47.36,78.91,87,5,9.95
Bilibino,68.05,166.44,57.09,38,93,3.44
Ust'-Barguzin,53.45,108.98,52.16,64,38,3.56
Makakilo City,21.35,-158.09,85.69,66,90,9.17
Betafo,-19.83,46.85,51.8,80,35,7.74
Pangnirtung,66.15,-65.71,24.46,93,49,1.72
Hereford,52.06,-2.71,59.0,72,100,2.01
Plainview,40.78,-73.47,65.37,56,90,6.93
Pahrump,36.21,-115.98,95.31,13,98,3.0
Norman Wells,65.28,-126.83,60.8,41,75,6.93
Fort Nelson,58.81,-122.7,64.4,31,75,9.17
Port Hedland,-20.32,118.57,78.8,27,100,20.8
Cockburn Town,21.46,-71.14,81.34,79,0,18.28
Chokurdakh,70.63,147.92,50.65,45,82,11.01
Kyren,51.68,102.14,61.9,39,100,0.92
Kirkuk,35.47,44.39,80.1,17,0,8.75
San Felipe,10.34,-68.74,70.68,92,45,2.55
Muzhi,65.37,64.67,41.81,65,0,6.6
Cooma,-36.23,149.13,46.4,65,95,28.86
Shimoda,34.67,138.95,74.57,78,75,6.93
Tautira,-17.73,-149.15,80.29,69,75,2.24
Viedma,-40.81,-63.0,48.83,79,65,12.41
Wexford,52.33,-6.46,57.31,85,92,5.01
Raduzhny,62.1,77.47,41.07,73,97,10.47
Los Teques,10.34,-67.04,71.01,63,1,0.83
Coyhaique,-45.58,-72.07,33.8,86,0,5.82
Kununurra,-15.77,128.73,77.0,27,64,12.75
Carballo,43.21,-8.69,61.32,97,0,1.23
Qinhuangdao,39.93,119.59,79.11,30,47,5.21
Hofn,64.25,-15.21,48.4,76,98,3.31
Samarinda,-0.5,117.15,79.07,91,100,1.77
Shimokizukuri,40.81,140.39,69.94,43,75,3.36
Seoul,37.57,126.98,71.1,69,75,2.24
Samaná,19.21,-69.34,78.49,85,0,7.49
Hilo,19.73,-155.09,78.75,54,20,9.17
Okha,53.57,142.95,38.55,92,100,11.77
Beisfjord,68.38,17.6,40.28,93,100,4.7
Tiarei,-17.53,-149.33,80.29,69,75,2.24
Saldanha,-33.01,17.94,59.0,93,100,2.24
Westport,41.14,-73.36,62.92,59,90,3.36
Constitución,-35.33,-72.42,51.1,86,100,11.74
Russell,32.35,-85.2,75.2,78,1,2.62
Ingham,42.6,-84.38,81.37,54,1,3.36
Lüderitz,-26.65,15.16,51.8,93,100,5.82
Buchach,49.06,25.39,48.99,89,100,5.99
Kalabo,-14.97,22.68,52.3,49,0,5.3
Nagua,19.38,-69.85,77.63,88,10,6.35
Faya,18.39,42.45,68.0,28,0,2.3
Atasū,48.68,71.64,72.64,35,100,4.81
Sawtell,-30.38,153.1,64.74,37,0,8.05
Birjand,32.87,59.22,60.8,23,0,6.93
Bonfim,3.08,-59.95,74.64,85,100,4.63
Dudinka,69.41,86.18,41.0,93,40,4.47
Mackay,-21.15,149.2,68.81,34,0,12.75
Chunhuhub,19.55,-88.68,75.38,98,100,5.64
Onokhoy,51.93,108.07,55.4,58,20,2.24
Yakeshi,49.28,120.73,47.84,87,100,7.52
Mahébourg,-20.41,57.7,73.4,78,75,12.75
Balkanabat,39.51,54.37,89.89,20,100,7.25
Tabas,33.6,56.92,78.8,15,0,6.93
Tshikapa,-6.42,20.8,75.97,49,82,2.48
Macao,22.2,113.55,86.0,84,40,9.17
Lompoc,34.64,-120.46,69.3,60,1,11.41
Delémont,47.36,7.34,56.53,87,21,1.12
Comodoro Rivadavia,-45.87,-67.5,41.0,65,0,14.99
Muskegon,43.3,-86.13,71.06,64,40,5.82
Miraflores,19.22,-98.81,73.2,35,40,16.11
Acapulco de Juárez,16.86,-99.89,78.8,83,40,9.17
Datong,40.09,113.29,72.7,20,0,2.15
Iwanai,42.97,140.51,70.88,41,87,9.28
Yar-Sale,66.83,70.83,38.8,76,100,10.8
Dingle,11.0,122.67,89.58,55,99,3.24
Sarāi Mīr,26.02,82.92,86.0,58,40,11.1
Ishigaki,24.34,124.16,87.8,79,75,17.22
Kieta,-6.22,155.63,84.42,73,18,3.47
Codrington,-38.27,141.97,53.76,63,92,10.16
Nago,26.59,127.98,84.13,83,75,16.11
Zaysan,47.47,84.87,74.26,39,16,10.42
Crotone,39.09,17.12,63.72,67,98,3.47
